hotelcode,hotelid,hotelname
3532,S240052,鳥羽シーサイドホテル
3533,S240053,戸田家
3539,S240059,鳥羽国際ホテル潮路亭
3540,S240060,鳥羽国際ホテル
3558,S240078,サン浦島 悠季の里
3562,S240082,心に宿る 芭新萃
3572,S240092,はいふう
3578,S240098,賢島宝生苑
3579,S240099,志摩観光ホテル ザ クラシック
3580,S240100,志摩観光ホテル ザ ベイスイート
3581,S240101,都リゾート 志摩 ベイサイドテラス
3585,S240105,ＮＥＭＵ ＲＥＳＯＲＴ ＨＯＴＥＬ ＮＥＭＵ
3593,S240113,都リゾート 奥志摩 アクアフォレスト
3598,S240118,ホテル季の座
3599,S240119,世界遺産リゾート 熊野倶楽部
5234,S240121,志摩地中海村
38024,S240141,御宿Ｔｈｅ Ｅａｒｔｈ
41083,S240142,伊勢外宮参道 伊勢神泉
41463,S240143,いにしえの宿 伊久
53746,S240161,湯元館ニュー浜島
99603,S240269,アクアイグニス 片岡温泉
131283,S240309,ＴＨＥ ＨＩＲＡＭＡＴＳＵ ＨＯＴＥＬＳ ＆ ＲＥＳＯＲＴＳ 賢島
141932,S240333,アマネム
149715,S240369,湯の山 素粋居
151123,S240372,ホテルヴィソン（ＶＩＳＯＮ）
151124,S240373,旅籠ヴィソン（ＶＩＳＯＮ）
151364,S240375,ＡＵＢＥＲＧＥ ＹＵＳＵＲＡ
151386,S240376,月夜見の座
151659,S240378,汀渚 ばさら邸
152105,S240381,大石屋
152341,S240383,ＮＩＰＰＯＮＩＡ ＨＯＴＥＬ 伊賀上野 城下町
152354,S240384,ＴＨＥ ＨＩＲＡＭＡＴＳＵ ＨＯＴＥＬＳ＆ＲＥＳＯＲＴＳ賢島
152447,S240385,Ｖｉｌｌａ お伽噺
153297,S240388,ＫＡＴＡＤＡ Ｌｏｄｇｅ＆Ｖｉｌｌａ
3601,S250002,浜湖月
3605,S250006,料亭旅館 やす井
3611,S250012,琵琶湖マリオットホテル
3614,S250015,琵琶湖ホテル
3622,S250023,湯元舘
3626,S250027,びわこ緑水亭
3627,S250028,びわ湖花街道
151684,S250159,湖北ノ空 二人ノ宿 きひろ
3633,S260002,ホテルグランヴィア京都
3636,S260005,リーガロイヤルホテル京都
3638,S260007,京都センチュリーホテル
3652,S260021,京都東急ホテル
3668,S260037,ホテル日航プリンセス京都
3679,S260048,炭屋旅館
3683,S260052,松井本館
3695,S260064,京都ホテルオークラ
3698,S260067,柊家旅館
3713,S260082,京都ブライトンホテル
3728,S260097,晴鴨樓
3742,S260111,ウェスティン都ホテル京都
3753,S260122,旅亭 嵐月
3761,S260130,ザ・プリンス 京都宝ヶ池
3770,S260139,すみや亀峰菴
3775,S260144,文珠荘
3777,S260146,文珠荘松露亭
3783,S260152,茶六 別館
30283,S260173,ザ ロイヤルパークホテル 京都三条
50723,S260203,祇園 吉今
54543,S260219,京小宿 八坂 ゆとね
57503,S260223,京 ＹＵＮＯＨＡＮＡ ＲＥＳＯＲＴ 翠泉
90553,S260324,料理旅宿井筒安
94624,S260346,翠嵐ラグジュアリーコレクションホテル京都
110346,S260359,いっぺん庵
127123,S260391,藏や清水五条
127163,S260393,藏や大宮島原
127725,S260397,フォーシーズンズホテル京都
137423,S260434,ＫＩＺＡＳＨＩ ＴＨＥ ＳＵＩＴＥ
139603,S260441,ホテル ザ セレスティン 京都祇園
141127,S260458,上七軒 億
141398,S260459,ＴＨＥ ＪＵＮＥＩ ＨＯＴＥＬ 京都御所西
141952,S260469,ザ ロイヤルパークホテル 京都四条
141955,S260472,清水小路 坂のホテル京都
144380,S260506,ＴＨＥ ＴＨＯＵＳＡＮＤ ＫＹＯＴＯ
146061,S260532,ＴＨＥ ＳＣＲＥＥＮ
147380,S260544,吉田山荘
148114,S260552,ＧＯＯＤ ＮＡＴＵＲＥ ＨＯＴＥＬ ＫＹＯＴＯ
149187,S260572,Ｔｈｅ Ｈｏｔｅｌ Ｓｅｉｒｙｕ Ｋｙｏｔｏ Ｋｉｙｏｍｉｚｕ（ザ・ホテル青龍 京都清水）
149201,S260574,ザ ロイヤルパークホテル 京都梅小路
149863,S260591,フォションホテル京都
150030,S260592,エースホテル京都
150034,S260596,アマン京都
150041,S260600,ＭＯＧＡＮＡ
150072,S260609,パークハイアット京都
151365,S260626,京小宿 室町 ゆとね
151368,S260627,ＴＨＥ ＪＵＮＥＩ ＨＯＴＥＬ 京都
151384,S260628,ＣＡＭＰＴＯＮ 東山ろく
151385,S260629,ＣＡＭＰＴＯＮ 清水
151387,S260630,京宿うさぎ
151426,S260632,夕彩Ｒｅｓｏｒｔ響季
151433,S260633,藏や 千本三条
151434,S260634,藏や 上五条町
151435,S260635,藏や 南聖町
151436,S260636,藏や 聚楽第
151438,S260638,しばし 梅屋町
151528,S260642,大原温泉湯元 旬味草菜 お宿 芹生
151554,S260643,佳松苑はなれ櫂
151650,S260649,ホテルハーヴェスト京都鷹峯
151673,S260650,もみぢ家別館 川の庵
151761,S260653,ＴＨＥ ＨＯＴＥＬ ＨＩＧＡＳＨＩＹＡＭＡ ｂｙ Ｋｙｏｔｏ Ｔｏｋｙｕ Ｈｏｔｅｌ
151762,S260654,ザ ロイヤルパークホテル アイコニック 京都
151888,S260673,ホテルオークラ京都 岡崎別邸
151984,S260691,京町家貸切宿 高瀬川七条
152364,S260698,ＴＨＥ ＧＡＴＥ ＨＯＴＥＬ 京都高瀬川 ｂｙ ＨＵＬＩＣ
3798,S270003,コートヤード・バイ・マリオット 新大阪ステーション
3805,S270010,ウェスティンホテル大阪
3806,S270011,ホテル阪急インターナショナル
3814,S270019,ヒルトン大阪
3816,S270021,ザ・リッツ・カールトン大阪
3826,S270031,帝国ホテル 大阪
3834,S270039,リーガロイヤルホテル
3841,S270046,セントレジスホテル大阪
3850,S270055,ホテルニューオータニ大阪
3864,S270069,ホテル日航大阪
3871,S270076,スイスホテル南海大阪
3877,S270082,シェラトン都ホテル大阪
3916,S270121,ホテル日航関西空港
44763,S270159,大阪マリオット都ホテル
77683,S270251,ザ パーク フロント ホテル アット ユニバーサル・スタジオ・ジャパン
136927,S270306,コンラッド大阪
148117,S270437,ザロイヤルパークホテルアイコニック大阪御堂筋
148312,S270443,ホテルロイヤルクラシック大阪
149721,S270478,ゼンティス大阪（Ｚｅｎｔｉｓ Ｏｓａｋａ）
150716,S270490,Ｗ大阪
151531,S270502,南天苑
3924,S280005,ホテル若水
3931,S280012,ＯＲＩＥＮＴＡＬ ＨＯＴＥＬ
3940,S280021,神戸北野ホテル
3945,S280026,ホテルオークラ神戸
3946,S280027,神戸メリケンパークオリエンタルホテル
3952,S280033,神戸ポートピアホテル
3961,S280042,有馬グランドホテル
3962,S280043,兵衛向陽閣
3964,S280045,欽山
3965,S280046,銀水荘 兆楽
3979,S280060,ＮＥＳＴＡ ＲＥＳＯＲＴ ＫＯＢＥ（ネスタリゾート神戸）
3983,S280064,西村屋ホテル招月庭
3984,S280065,大西屋 水翔苑
3989,S280070,西村屋本館
3994,S280075,三木屋
4003,S280084,ホテル 金波楼
4009,S280090,佳泉郷 井づつや
4010,S280091,朝野家
4022,S280103,潮彩きらら祥吉
4025,S280106,グランドニッコー淡路
4026,S280107,ホテルニューアワジ別亭 淡路夢泉景
4027,S280108,ホテルニューアワジ
4036,S280117,ホテルニューアワジ プラザ淡路島
4041,S280122,ホテル アナガ
30207,S280137,月光園 鴻朧館
32804,S280152,中の坊 瑞苑
36705,S280161,ホテルラ・スイート神戸ハーバーランド
44943,S280167,あわじ浜離宮
66583,S280200,有馬山叢 御所別墅
